RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,786570,1684861,2900262,53526,1156548,1216795,,,,47713.29
100,1,1286,1643.081,2.789,,,,,,,
100,2,338,538.016,1.910,,,,,,,
100,3,1118,1619.746,5.279,8,117.411,1.126,,,,
100,4,1171,1414.299,3.418,,,,,,,
90,0,786606,1097746,2451266,7,101.144,1.430,16,440642.9,99754824,214945.6
90,1,1623,2092.844,2.339,,,,,,,
90,2,314,554.456,2.279,,,,,,,
90,3,1213,1720.364,1.876,,,,,,,
90,4,925,1327.466,4.783,8,116.938,2.634,,,,
80,0,786565,1105109,2579763,7,182.588,82.971,18,407700.4,114331751,217796.4
80,1,2039,2665.687,3.490,,,,,,,
80,2,572,1116.876,67.083,9,141.494,10.613,,,,
80,3,1582,2088.925,2.144,,,,,,,
80,4,1330,1662.975,1.788,,,,,,,
70,0,786761,1112571,4291998,12,409.097,34.594,16,336806.4,156545085,222923.4
70,1,639,860.235,2.028,,,,,,,
70,2,308,668.198,9.665,9,143.466,17.141,,,,
70,3,486,525.918,0.368,,,,,,,
70,4,1725,2373.986,2.045,,,,,,,
60,0,995597,1785796,4677213,47,736.748,36.947,17,734205.4,1587941735,340170.6
60,1,455,532.700,0.390,,,,,,,
60,2,505,834.807,3.391,,,,,,,
60,3,3407,5017.049,11.607,16,238.421,5.581,,,,
60,4,2177,2507.767,20.200,,,,,,,
50,0,1048805,1959075,5757960,85,1723.986,107.281,22,980612.9,715369595,373629.7
50,1,1902,2271.040,1.804,,,,,,,
50,2,795,1225.774,4.396,,,,,,,
50,3,1896,2506.849,2.415,,,,,,,
50,4,1512,1831.152,1.799,,,,,,,
40,0,1048807,2033416,6088488,26,477.736,74.249,15,323814.4,23005536,378840.4
40,1,834,999.958,1.305,,,,,,,
40,2,677,1132.072,4.481,,,,,,,
40,3,900,1337.057,3.634,,,,,,,
40,4,4694,5162.243,292.194,,,,,,,
30,0,1048833,2034548,13444190,17,355.480,109.075,10,208340.4,189687273,381429.3
30,1,2007,2579.781,3.285,8,118.762,2.344,,,,
30,2,645,1271.579,8.360,16,229.090,4.519,,,,
30,3,2069,2810.391,2.214,,,,,,,
30,4,1354,1724.280,2.661,,,,,,,
20,0,1048897,2031222,6378854,51,875.053,47.864,9,192790.1,102948325,372545.4
20,1,1937,2414.489,3.118,2,30.243,4.783,,,,
20,2,450,661.339,1.151,,,,,,,
20,3,1931,2611.672,2.025,,,,,,,
20,4,1382,1637.909,1.250,,,,,,,
10,0,1048722,2035880,65731428,16,303.545,87.326,4,58874.26,53635101,370568.7
10,1,1862,2227.768,1.390,,,,,,,
10,2,854,1202.106,3.809,,,,,,,
10,3,1950,2598.835,1.911,,,,,,,
10,4,1642,1978.308,1.869,,,,,,,
5,0,1048913,2040932,9690566,17,315.426,75.084,1,15863.48,0.000,373436.5
5,1,1041,1327.902,2.505,,,,,,,
5,2,260,517.922,2.566,,,,,,,
5,3,1116,1495.752,1.450,,,,,,,
5,4,4387,5095.338,73.954,,,,,,,
