RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.73,0.10,0:02.10,0,100521,0,0
90,3.91,0.94,0:02.64,40234,107563,56744,45548
80,3.99,1.05,0:02.76,47734,111301,70430,53202
70,4.04,1.23,0:02.90,57798,123195,78868,64662
60,4.09,1.21,0:02.91,62354,109056,72608,69134
50,4.14,1.57,0:03.13,72510,178220,114542,84714
40,5.00,4.38,0:05.04,150316,1036106,598029,360937
30,5.01,6.27,0:06.29,234275,1062494,664856,737064
20,4.70,6.79,0:06.55,266269,1114985,708113,791412
10,4.46,6.96,0:06.51,260102,1122443,709634,799615
5,4.99,7.17,0:06.97,273278,1132288,724726,802571
