RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.59,1.04,0:03.64,2735,616214,0,3450
90,2.52,2.47,0:05.00,13,1048775,0,518587
80,2.66,2.27,0:04.94,14,1048779,0,531440
70,2.80,2.21,0:05.02,14,1048783,0,531444
60,2.64,2.34,0:04.99,14,1048786,0,531472
50,2.83,2.19,0:05.03,14,1048794,0,531478
40,2.78,2.18,0:04.97,14,1048793,0,531455
30,2.82,2.04,0:04.87,14,1048793,0,531476
20,2.91,2.00,0:04.92,14,1048797,0,531470
10,2.82,2.04,0:04.86,13,1048800,0,531484
5,2.87,1.93,0:04.80,14,1048800,0,531478
