RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.93,0.11,0:01.59,0,100476,-42358709,0
90,4.00,0.96,0:01.92,41420,109234,-42358709,45417
80,4.10,0.81,0:01.95,49031,113543,-42421050,53360
70,4.12,0.88,0:02.04,58252,118354,-42492913,63583
60,4.11,0.92,0:02.02,63698,109125,-42569548,69079
50,4.37,1.04,0:02.15,72202,176960,-42642777,84600
40,5.31,4.15,0:03.56,161436,1012292,-42755663,364380
30,5.58,5.94,0:04.48,251687,1078496,-43345484,751093
20,4.92,6.35,0:04.47,264446,1108078,-44025475,788544
10,5.09,6.49,0:04.69,289005,1093338,-44731003,797038
5,5.71,7.14,0:05.21,299542,1136275,-45440582,810559
