RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,100773,0
90,159081,1282
80,169536,1954
70,182811,2905
60,186240,4036
50,245182,25467
40,1018000,9345
30,1369878,8128
20,1411670,420
10,1424401,175
5,1547108,117352
