RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.84,0.13,0:03.98,0,104761,0,0
90,3.91,0.25,0:04.17,7606,134018,37657,23216
80,3.85,0.36,0:04.23,6703,166130,74167,54249
70,3.79,0.42,0:04.22,4242,176088,74445,70200
60,3.72,0.47,0:04.21,3341,177089,74607,77863
50,3.88,0.43,0:04.33,6249,198101,87353,81593
40,4.07,0.77,0:04.87,22026,394616,188068,175726
30,4.39,1.91,0:06.36,18013,1287732,665884,687670
20,4.43,2.11,0:06.60,34146,1307922,689172,743287
10,4.76,3.62,0:08.55,36553,2494043,1219328,1279275
5,4.73,4.05,0:09.04,36691,2628266,1282279,1613160
