RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.11,1.90,0:06.02,0,1445976,0,0
90,4.15,1.98,0:06.14,3225,1448644,115085,5152
80,4.17,2.16,0:06.33,3225,1448641,226099,6775
70,4.33,3.16,0:07.54,57951,1542477,492205,152703
60,4.48,5.38,0:10.06,175307,1909676,1000165,515908
50,4.60,8.22,0:13.19,271789,2481070,1458133,1228468
40,4.98,19.80,0:26.95,407689,6020130,4528006,4487957
30,4.86,23.95,0:31.59,289745,7335626,5045456,7146300
20,4.90,25.87,0:33.98,133759,8183600,5294182,8666999
10,4.64,28.87,0:37.24,25349,9307554,5323022,10347181
5,4.66,30.06,0:38.55,67053,9462979,5331258,10829315
