RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.81,0.17,0:03.98,0,104759,0,0
90,3.90,0.23,0:04.14,6044,138052,39932,24802
80,3.85,0.28,0:04.14,5524,171198,74208,56684
70,3.69,0.37,0:04.07,3969,176341,74451,70975
60,3.74,0.32,0:04.07,3353,177061,74599,77864
50,3.77,0.37,0:04.14,4353,191988,83078,79521
40,4.03,0.67,0:04.71,17462,472913,226597,174730
30,4.26,1.81,0:06.08,16593,1289831,666557,692191
20,4.39,1.93,0:06.32,33334,1306462,688759,742705
10,4.70,3.55,0:08.26,53381,2513275,1235538,1315512
5,4.72,3.68,0:08.41,36562,2624572,1280054,1612746
