RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.48,0.10,0:03.59,0,100589,-9071367,0
90,3.51,0.70,0:04.22,42915,109489,-9071367,46536
80,3.54,0.76,0:04.31,50281,113093,-9135438,54917
70,3.49,0.94,0:04.44,59504,125213,-9207339,64899
60,3.51,0.95,0:04.47,62955,109288,-9287812,70083
50,3.61,1.07,0:04.70,71587,157360,-9360691,84303
40,3.77,3.54,0:07.56,161603,1105435,-9462978,462952
30,3.98,4.46,0:08.86,244721,1137196,-10110080,772704
20,3.71,4.69,0:08.81,245262,1136853,-10818899,778150
10,3.92,4.91,0:09.29,255883,1254823,-11527914,858937
5,4.17,5.88,0:10.72,314388,1586722,-12271979,1233290
