RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.51,0.09,0:03.61,0,100590,-13068430,0
90,3.56,0.34,0:03.93,3274,144711,-13068430,45347
80,3.56,0.40,0:04.00,2765,159116,-13119995,54115
70,3.59,0.43,0:04.06,1897,164297,-13187702,62589
60,3.57,0.43,0:04.04,846,167433,-13258344,69067
50,3.69,0.44,0:04.17,2365,186754,-13329094,75418
40,4.08,1.84,0:06.05,16642,1197938,-13410232,322046
30,4.30,2.08,0:06.72,223,1381124,-14012054,764539
20,4.30,2.13,0:06.78,33,1382276,-14719898,775818
10,4.05,3.29,0:07.69,49385,1435114,-15428876,828767
5,4.04,3.86,0:08.26,39948,1852935,-16172549,1189476
