RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.56,0.85,0:03.44,163,525673,20643,3409
90,2.76,5.75,0:11.50,50709,735856,2049144,1678780
80,2.69,6.89,0:12.42,50917,735653,2382648,1693249
70,2.79,7.48,0:13.16,50904,735674,2729916,1698286
60,2.86,13.11,0:19.26,93172,903006,4344372,3032307
50,2.91,15.22,0:21.64,104561,944168,5072677,3372086
40,2.82,16.00,0:22.39,105398,943326,5405889,3384654
30,2.85,16.81,0:23.07,107715,941013,5739764,3387180
20,2.84,17.28,0:23.68,105605,943123,6061516,3402030
10,2.84,175.88,2:59.37,120247,928485,6256609,3661473
5,2.86,108.77,1:52.10,283868,764860,5336646,3921087
