RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,786947,217756
90,840098,92
80,849461,64
70,850080,68
60,1143151,2144
50,1217069,240
40,1223226,151
30,1220506,80
20,1223542,78
10,1223135,78
5,1223741,76
