RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.83,1.04,0:07.87,110,677866,0,578
90,6.81,1.07,0:07.89,1825,687572,0,12295
80,6.93,1.06,0:08.00,1797,687603,0,12546
70,6.87,1.42,0:08.29,7049,691543,0,23960
60,7.14,1.76,0:08.92,38689,695733,0,62596
50,7.24,2.58,0:09.83,91693,740371,0,165898
40,7.31,3.11,0:10.44,105020,858232,0,304510
30,7.21,4.40,0:11.64,196560,942308,0,483642
20,7.48,4.96,0:12.46,226131,989728,0,578174
10,7.74,5.73,0:13.51,302916,1075229,0,768733
5,8.56,5.83,0:14.44,335039,1100357,0,840153
