RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,7.24,1.06,0:08.32,98,678179,3421,2248
90,7.22,1.40,0:08.66,1920,687478,142322,52919
80,7.29,1.48,0:08.82,1849,688858,285603,55111
70,7.44,2.00,0:09.48,5085,693952,550146,105715
60,7.31,2.73,0:10.10,24267,690077,845123,195832
50,7.46,5.11,0:12.75,71381,767369,1365642,700728
40,7.42,6.56,0:14.31,100368,876358,1752594,1281940
30,7.53,8.90,0:17.10,195603,970629,2242027,2036668
20,7.81,9.49,0:18.33,196187,1033137,2620190,2464168
10,8.36,9.87,0:19.58,194809,1176558,2846606,3130859
5,9.39,10.71,0:21.31,194411,1323652,3384545,3442149
