RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.22,1.67,0:03.90,53767,732799,-67358148,61012
90,2.32,1.60,0:04.04,7,786559,-67642324,282475
80,2.31,1.56,0:03.97,7,786559,-68029736,283096
70,2.30,1.56,0:03.97,12,786564,-68467999,283802
60,2.39,2.39,0:05.10,21,995467,-68955526,497230
50,2.43,2.64,0:05.46,72,1048657,-69520001,549865
40,2.57,2.01,0:04.99,17,1048710,-70085374,562618
30,2.54,2.07,0:05.01,17,1048710,-70650952,562700
20,2.56,1.90,0:04.87,17,1048710,-71216538,562770
10,2.58,1.81,0:04.81,17,1048710,-71782129,562893
5,2.64,1.70,0:04.75,17,1048709,-72347720,562919
