RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,105125,0
90,115667,5438
80,114401,4036
70,118808,5499
60,117717,4245
50,144528,16519
40,339167,59378
30,1072236,7492
20,1144654,6658
10,2845233,24499
5,3204191,4086
