RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.47,0.11,0:03.59,0,100590,0,0
90,3.47,0.95,0:04.43,39474,103430,52257,42679
80,3.46,1.20,0:04.66,51607,103210,70229,55891
70,3.45,1.67,0:05.12,74983,123540,90231,80939
60,3.50,1.83,0:05.33,85691,131089,98429,92515
50,3.53,2.01,0:05.56,92199,153689,112185,109054
40,3.62,4.88,0:09.03,165316,965072,591018,547603
30,3.70,6.67,0:11.02,247608,1135128,709304,774475
20,3.69,6.73,0:11.09,249439,1133691,709592,779244
10,3.92,6.99,0:11.58,269881,1174570,732526,817864
5,4.13,8.51,0:13.55,326768,1562407,813871,1240715
