RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.19,3.07,0:05.26,218660,567906,283228,235574
90,2.32,1.30,0:03.88,7,718317,342229,262749
80,2.40,1.33,0:03.98,7,733093,401433,282744
70,2.38,1.40,0:04.04,12,732009,456424,283540
60,2.49,1.96,0:04.90,2244,896718,564610,504666
50,2.53,2.05,0:05.05,186,932187,565411,551937
40,2.55,2.08,0:05.05,113,934714,565522,558444
30,2.53,2.11,0:05.02,18,936337,565594,562793
20,2.67,2.00,0:05.03,18,935714,565592,562891
10,2.69,2.01,0:05.02,18,934385,565589,562998
5,2.57,2.15,0:05.01,18,934445,565597,563054
