RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,8,1655,2251.680,2.383,,,,,,,
100,9,928,1154.972,1.544,1,9.386,0.000,,,,
100,10,904,1174.883,1.480,,,,,,,
100,11,788,975.196,0.881,,,,,,,
100,12,511,669.732,1.494,,,,,,,
100,13,592,716.911,1.940,,,,,,,
100,14,855,1200.467,1.698,,,,,,,
100,15,2041,2230.149,4.034,,,,,,,
100,16,,,,,,,,,,
100,17,160,267.857,1.831,,,,,,,
100,18,637,1039.653,1.176,,,,,,,
100,19,402,664.986,1.552,,,,,,,
90,8,2967,3710.277,47.409,,,,,,,
90,9,2613,3206.724,3.419,,,,,,,
90,10,2293,2905.591,8.685,,,,,,,
90,11,3377,4566.497,7.692,,,,,,,
90,12,1675,2152.364,1.979,,,,,,,
90,13,1515,1942.391,1.734,,,,,,,
90,14,780,1271.869,2.348,,,,,,,
90,15,5688,5849.450,48.170,8,74.378,112.862,,,,
90,16,129,261.492,0.954,,,,,,,
90,17,18,28.760,2.068,,,,,,,
90,18,198,306.345,1.064,,,,,,,
90,19,241,363.780,1.465,,,,,,,
80,8,3010,3715.143,26.313,,,,,,,
80,9,2852,3752.324,5.036,,,,,,,
80,10,3036,3823.373,29.121,,,,,,,
80,11,2996,4173.913,34.161,,,,,,,
80,12,1462,1937.818,2.747,2,39.101,315.482,,,,
80,13,978,1244.691,1.329,,,,,,,
80,14,338,708.662,0.864,,,,,,,
80,15,4835,4925.376,44.300,,,,,,,
80,16,79,103.242,0.678,,,,,,,
80,17,233,399.735,2.774,,,,,,,
80,18,172,287.858,2.001,,,,,,,
80,19,541,815.655,1.480,,,,,,,
70,8,5542,5742.565,146.082,,,,,,,
70,9,2871,3478.121,2.006,,,,,,,
70,10,3102,3887.517,11.547,,,,,,,
70,11,3653,4518.392,46.554,,,,,,,
70,12,2159,2665.151,16.865,,,,,,,
70,13,1831,2217.640,1.542,,,,,,,
70,14,784,1309.803,2.259,,,,,,,
70,15,1930,2106.741,2.278,,,,,,,
70,16,75,128.724,0.983,,,,,,,
70,17,222,403.149,3.184,,,,,,,
70,18,252,527.114,20.762,2,62.365,333.826,,,,
70,19,63,116.821,26.038,3,47.391,234.257,,,,
60,8,3458,4302.897,6.419,,,,,,,
60,9,3123,3757.507,10.452,,,,,,,
60,10,2769,3366.973,2.947,,,,,,,
60,11,2792,3790.107,5.257,,,,,,,
60,12,1789,2378.521,2.128,,,,,,,
60,13,1026,1355.524,3.333,1,37.615,0.000,,,,
60,14,382,940.651,4.179,,,,,,,
60,15,6286,6027.987,151.372,,,,,,,
60,16,121,184.180,0.563,,,,,,,
60,17,256,410.401,1.576,,,,,,,
60,18,313,486.933,1.064,,,,,,,
60,19,247,408.232,1.548,,,,,,,
50,8,2917,3718.781,3.921,,,,,,,
50,9,2917,3388.121,4.818,,,,,,,
50,10,2788,3471.897,3.901,,,,,,,
50,11,2296,2908.771,8.161,4,37.120,40.763,,,,
