RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.31,0.62,0:02.94,423,623596,105659,3141
90,2.13,4.49,0:06.64,313007,735783,565610,562993
80,2.19,3.50,0:05.72,149713,899081,565613,562984
70,2.04,3.42,0:05.49,132182,916615,565610,562990
60,2.19,3.60,0:05.82,176933,871867,565611,563018
50,2.21,3.71,0:05.95,166914,881890,565617,563023
40,2.27,3.11,0:05.42,141376,907430,565616,563033
30,2.22,3.23,0:05.48,149046,899766,565619,563034
20,2.31,3.91,0:06.24,367972,680840,565620,563044
10,2.34,2.77,0:05.14,130909,917906,565618,563049
5,2.31,2.76,0:05.10,129619,919198,565619,563050
