RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.67,0.69,0:07.36,10,470562,2381,109
90,6.64,0.84,0:07.48,16,470567,75358,616
80,6.71,0.74,0:07.46,536,476315,134149,1642
70,6.63,0.85,0:07.48,773,478690,132217,2348
60,6.75,1.17,0:07.93,29884,505480,199928,31632
50,6.88,1.62,0:08.52,62257,564449,274650,71340
40,7.03,2.08,0:09.13,116728,596242,341747,193828
30,7.03,2.57,0:09.62,175181,624619,361126,307445
20,7.24,2.60,0:09.85,182265,676739,421688,378548
10,7.53,3.06,0:10.62,250480,701377,461989,500208
5,8.30,3.20,0:11.54,240496,777275,504817,591455
