RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
30,0,744563,1004794,22486632,193,1393.445,6.682,5,49744.98,15176101,409252.2
30,1,611362,877623.7,3679730,56,418.078,1.685,,,,383202.0
30,2,606,890.410,3.211,,,,,,,
30,3,1198,1442.718,1.589,,,,,,,
30,4,554,650.924,1.122,,,,,,,
