RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.77,0.97,0:03.75,23,534997,0,167
90,2.99,3.41,0:06.41,129147,919775,0,531425
80,2.95,3.44,0:06.40,129378,919545,0,531428
70,2.88,3.43,0:06.32,132220,916706,0,531433
60,2.86,3.50,0:06.36,130746,918182,0,531418
50,3.01,3.15,0:06.16,131182,917752,0,531413
40,2.98,3.20,0:06.19,129610,919327,0,531421
30,2.94,3.19,0:06.14,131140,917798,0,531441
20,2.88,3.20,0:06.08,130771,918168,0,531439
10,2.78,3.28,0:06.07,131172,917771,0,531451
5,2.82,3.26,0:06.09,130553,918390,0,531431
