RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.94,0.12,0:01.61,0,100476,0,0
90,4.20,0.35,0:01.79,127,150847,54999,42890
80,4.18,0.39,0:01.81,1387,160645,68493,50860
70,4.12,0.47,0:01.83,1380,165347,70694,62608
60,4.13,0.50,0:01.84,180,169886,70798,68751
50,4.31,0.53,0:01.91,1145,210413,92666,74530
40,6.28,2.85,0:03.39,37047,1094716,557644,343813
30,6.92,4.14,0:04.08,1656,1367502,699669,752116
20,7.17,3.98,0:04.11,204,1382498,709320,776161
10,7.25,4.07,0:04.18,303,1383120,709756,777824
5,7.30,4.53,0:04.34,4722,1402707,719371,783535
