RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.73,0.13,0:02.12,0,100521,0,0
90,3.92,0.45,0:02.39,39636,112489,60415,44122
80,3.89,0.59,0:02.45,46862,113211,70405,51418
70,3.90,0.66,0:02.50,56238,125547,78691,62996
60,4.01,0.61,0:02.52,62047,123135,79691,69864
50,4.08,0.72,0:02.62,67292,164615,103579,74842
40,4.73,2.80,0:04.04,179264,1025899,607574,516860
30,5.10,3.24,0:04.51,245569,1099672,689693,755225
20,4.65,3.52,0:04.47,260452,1121094,708379,794120
10,4.78,3.90,0:04.78,277999,1104846,709747,796933
5,5.44,3.91,0:05.11,273307,1137334,726768,801989
