RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.54,1.11,0:03.65,1858,644397,123154,2756
90,2.62,1.65,0:04.27,7,527560,402236,266707
80,2.62,1.65,0:04.28,7,528079,424922,266860
70,2.35,2.00,0:04.35,12,528610,491919,267317
60,2.53,2.04,0:04.58,265,529132,534087,477734
50,2.47,2.24,0:04.71,366,529826,534602,530359
40,2.37,2.33,0:04.71,18,529658,534603,531512
30,2.51,2.22,0:04.74,18,529661,534612,531532
20,2.62,2.08,0:04.71,18,529658,534612,531534
10,2.49,2.05,0:04.55,18,529662,534615,531535
5,2.50,2.02,0:04.53,18,529659,534605,531527
