RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.93,0.11,0:01.60,0,100476,0,0
90,4.08,0.56,0:01.82,40266,113727,61115,43605
80,4.16,0.55,0:01.85,46188,112488,70473,50012
70,4.19,0.67,0:01.90,57882,128558,80711,63000
60,4.15,0.76,0:01.92,63492,123471,80256,69372
50,4.28,0.83,0:01.99,68292,160413,101890,74392
40,6.28,3.67,0:03.68,186358,1014736,603974,496275
30,6.67,4.54,0:04.18,252355,1105863,695609,761598
20,6.53,4.68,0:04.23,269285,1110792,708654,793149
10,6.58,4.89,0:04.33,271556,1111624,709977,799616
5,6.90,5.11,0:04.54,292032,1145404,730557,813123
