RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.13,1.63,0:05.77,0,1445976,0,0
90,4.21,1.77,0:05.99,2169,1449691,197812,6403
80,4.32,1.84,0:06.16,2579,1484255,300418,8594
70,4.46,2.47,0:06.93,20860,1770290,636229,144839
60,4.59,4.71,0:09.31,251201,2100993,1069796,348830
50,4.85,6.30,0:11.21,285597,2887955,1598155,1168688
40,5.29,22.87,0:28.43,1894192,5538698,4671363,4510514
30,5.11,33.88,0:39.57,3129226,5758244,5085334,7261776
20,5.32,36.00,0:42.15,3171073,6877103,5288371,8932938
10,5.59,36.39,0:43.29,3023885,8179395,5323790,10410929
5,5.62,37.99,0:45.11,3213738,8542535,5334320,11027790
