RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2
100,0,99004,63380.78,24724.53,,,,,,,,,,
100,1,844,784.452,1.511,,,,,,,,,,
100,2,820,787.585,1.075,,,,,,,,,,
100,3,778,897.903,6.090,,,,,,,,,,
100,4,1327,1458.590,5.690,,,,,,,,,,
90,0,110468,220150.7,321909.0,9886,145332.1,3173.851,1,18129.52,0.000,,11324,464.802,0.255
90,1,15822,205623.0,23296.82,13232,191255.1,5208.275,,,,,15028,629.988,2.045
90,2,16105,211662.9,16782.15,13981,196841.7,8441.189,,,,,15327,699.445,6.827
90,3,797,1093.801,2.200,,,,,,,,,,
90,4,745,937.654,1.775,,,,,,,,,,
80,0,114956,265017.2,117892.1,14931,186785.9,5220.465,2,39877.04,5459767,,15807,815.859,670.567
80,1,20420,253402.0,126300.5,17962,234936.1,61641.33,,,,,19109,1247.125,10475.65
80,2,24552,264249.6,42644.69,19835,243934.2,13447.23,,,,,20758,1450.129,2361.923
80,3,936,1218.527,1.600,2,17.826,4.416,,,,,10,10.913,10.618
80,4,964,1301.301,2.589,,,,,,,,,,
70,0,118034,286866.9,115157.0,18182,203898.4,5014.571,4,73390.82,6949533,,18901,1075.243,986.767
70,1,33974,300885.9,28267.45,24963,274172.1,114040.3,,,,,26891,1429.493,586.798
70,2,19853,237978.1,9201.697,19056,219648.7,11204.69,,,,,19150,913.992,119.398
70,3,1213,1563.503,1.425,,,,,,,,,,
70,4,1218,1584.970,1.286,,,,,,,,,,
60,0,120318,295945.9,163297.7,20297,208306.2,5719.408,4,70945.96,8891548,,20864,979.775,17.081
60,1,24158,252588.5,10218.67,21836,228939.7,603808.9,,,,,22965,2242.257,131.031
60,2,26998,264106.6,17278.19,23141,238005.1,11478.81,,,,,24057,3353.377,820.873
60,3,1184,1561.472,2.419,,,,,,,,,,
60,4,849,1269.944,3.228,25,183.472,8.631,,,,,26,0.994,0.000
50,0,141160,384012.5,363195.6,27959,283754.2,11108.79,4,61926.56,4412654,,31368,1532.674,811.684
50,1,48966,366667.9,158633.2,32038,329803.6,15276.40,,,,,36611,2847.299,2188.555
50,2,61266,377287.3,59641.76,32056,326551.5,58006.50,,,,,43479,9815.837,16402.89
50,3,895,1160.315,2.972,,,,,,,,,,
50,4,1022,1372.351,3.337,10,83.480,4.893,,,,,26,5.075,0.623
40,0,405518,1565463,4406827,61776,1040173,340537.8,3,61230.50,5165772,,198693,233452.6,291779.1
40,1,301269,1412207,6187879,56127,986935.4,329095.9,,,,,191520,206657.1,1241317
40,2,286106,1489740,3264790,58512,1057025,1441546,,,,,184963,224199.7,593634.0
40,3,707,1046.677,3.633,,,,,,,,,,
40,4,1017,1279.843,1.821,,,,,,,,,,
30,0,511836,2439879,1457847,91792,1634100,461434.5,4,64806.43,8218886,,285546,414303.6,4041036
30,1,407598,2230225,8491041,81745,1518518,345803.8,,,,,273476,396867.4,3533740
30,2,397385,2365724,13378020,87327,1630524,573091.3,,,,,271035,430528.6,837180.5
30,3,1900,2990.575,2.272,,,,,,,,,,
30,4,3687,4875.782,41.641,,,,,,,,,,
20,0,542488,2735553,1283282,108459,1853258,562500.5,4,71788.65,10889623,,310666,474160.2,10500294
20,1,418602,2548044,10635187,92051,1738388,437439.2,,,,,286209,489411.0,5418290
20,2,410955,2216835,7943687,77644,1497709,425202.2,,,,,276275,404489.7,4956135
20,3,922,1348.291,0.984,,,,,,,,,,
20,4,542,705.052,1.786,1,26.269,0.000,,,,,7,0.521,0.009
10,0,545331,2793823,5920297,109077,1826302,3169788,7,74081.70,7797454,,316151,542642.0,1322571
10,1,418265,2551668,1086510,88212,1676629,450185.0,,,,,287412,544160.2,13354853
10,2,419624,2514382,754787.4,87400,1645443,611784.4,,,,,287772,535434.8,2861960
10,3,4561,5004.008,35.793,,,,,,,,,,
10,4,3255,4448.583,15.081,1,11.926,0.000,,,,,7,0.384,0.001
5,0,557760,3010189,4385138,117231,1897871,596712.1,31,72149.79,366343.9,,334605,669789.3,1412524
5,1,431266,2746733,4825363,91163,1710052,313690.0,,,,,306363,674671.0,68868425
5,2,432325,2742246,8593035,91151,1710301,671620.5,,,,,306442,669097.3,3365306
5,3,5105,5758.561,635.285,,,,,,,,,,
5,4,2770,3643.440,4.930,,,,,,,,,,
