RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,1049138,20669
90,1049157,119
80,1049175,70
70,1049165,69
60,1049167,66
50,1049172,68
40,1049190,71
30,1049178,64
20,1049165,59
10,1049173,60
5,1049179,61
