RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.31,1.52,0:03.83,20619,1028167,556512,29817
90,2.05,2.03,0:04.10,66,1048727,565592,545594
80,2.21,1.90,0:04.12,14,1048783,565621,563054
70,2.24,1.86,0:04.10,14,1048782,565618,563034
60,2.23,1.86,0:04.09,14,1048789,565618,563035
50,2.38,1.76,0:04.14,14,1048789,565625,563069
40,2.38,1.75,0:04.14,14,1048798,565628,563056
30,2.42,1.68,0:04.11,14,1048796,565617,563043
20,2.47,1.67,0:04.15,14,1048797,565609,563038
10,2.54,1.61,0:04.16,14,1048800,565611,563036
5,2.46,1.70,0:04.16,14,1048802,565614,563046
