RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,7.45,0.37,0:03.01,0,244834,0,0
90,7.18,0.37,0:02.93,44,240722,25272,270
80,7.08,0.44,0:02.93,44,240466,47396,419
70,7.21,0.87,0:03.09,38211,242698,73619,41604
60,7.60,1.03,0:03.37,52670,271176,110585,56543
50,7.27,0.96,0:03.25,68368,223253,92641,72407
40,7.94,1.07,0:03.55,81555,231241,132077,86284
30,9.02,4.38,0:05.09,420420,612835,492351,432832
20,9.42,5.33,0:05.67,593101,571587,563677,609399
10,9.35,5.33,0:05.66,598337,580505,569241,617966
5,10.30,5.94,0:06.17,607791,604861,583772,627527
