RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2
100,0,686587,529945.0,157705.2,1083,8108.926,2.120,,,,,162940,7277.849,303.814,686587,21337.32,1055.123
100,1,1444,1973.144,1.719,,,,,,,,,,,1444,50.762,0.000
100,2,1283,1973.699,5.180,1,11.449,0.000,,,,,10,0.406,0.000,1283,49.047,0.006
100,3,960,1290.656,2.175,,,,,,,,,,,960,33.681,0.000
100,4,853,1291.578,4.643,3,23.650,5.602,,,,,9,4.790,2.192,853,30.419,0.000
90,0,1048795,2260258,3417817,215680,1459477,89701.97,21,118679.3,4115910,,525352,20958.26,3125.244,1048795,32705.03,1803.046
90,1,1449,2072.448,3.747,,,,,,,,,,,1449,55.798,0.000
90,2,4341,7289.456,278.102,1,10.642,0.000,,,,,14,0.511,0.000,4341,212.581,0.142
90,3,1848,2520.595,2.430,,,,,,,,,,,1848,65.663,0.000
90,4,2229,3006.567,15.170,,,,,,,,,,,2229,92.382,0.727
80,0,1048801,1796908,2985979,134451,965508.6,25963.12,21,112094.1,2309038,,525247,20813.00,10559.02,1048801,33900.46,21264.45
80,1,1358,1745.752,1.839,,,,,,,,,,,1358,47.347,0.000
80,2,1194,2470.899,6.871,4,38.689,47.138,,,,,33,19.179,5.157,1194,56.041,0.017
80,3,921,1207.837,1.695,,,,,,,,,,,921,35.128,0.000
80,4,750,1011.044,2.384,,,,,,,,,,,750,27.229,0.000
70,0,1048800,1974595,14535094,163339,1132955,47851.17,12,63973.41,680897.9,,525360,21538.77,3029.576,1048800,34178.04,17604.04
70,1,418,550.800,1.588,,,,,,,,,,,418,14.948,0.000
70,2,1627,3879.639,9.015,5,48.867,44.815,,,,,30,13.855,5.282,1627,109.113,0.658
70,3,2303,3110.369,13.532,,,,,,,,,,,2303,82.752,0.001
70,4,2486,3247.242,14.594,,,,,,,,,,,2486,108.621,0.371
60,0,1048833,1822033,7520037,134264,970998.0,167627.5,6,28177.75,731038.5,,525143,20449.34,3374.450,1048833,33421.43,9881.805
60,1,1144,1548.991,2.317,,,,,,,,,,,1144,40.630,0.000
60,2,1051,2283.374,9.423,2,15.972,7.566,,,,,10,0.407,0.000,1051,69.696,0.316
60,3,1230,1656.930,1.796,,,,,,,,,,,1230,44.425,0.000
60,4,142,180.792,0.448,,,,,,,,,,,142,5.488,0.000
50,0,1048922,1771935,2468318,134731,947006.6,66534.95,14,92840.69,4508229,,525502,20958.04,4357.966,1048922,33593.32,3100.846
50,1,1942,2847.171,2.291,,,,,,,,,,,1942,99.043,0.152
50,2,2048,4454.333,7.690,4,42.525,49.480,,,,,32,15.041,2.602,2048,103.103,0.024
50,3,1627,2217.410,1.805,,,,,,,,,,,1627,57.653,0.000
50,4,2000,2650.938,2.120,,,,,,,,,,,2000,90.661,0.116
40,0,1048735,2758930,6446814,292355,1867919,313916.9,5,30434.87,1055689,,524498,18783.43,12908.00,1048735,40281.81,7238.490
40,1,2241,2860.787,11.720,,,,,,,,,,,2241,79.913,0.001
40,2,2008,3395.182,3.108,3,21.165,3.039,,,,,13,1.517,0.080,2008,85.108,0.004
40,3,1712,2243.252,2.107,,,,,,,,8,0.356,0.000,1712,61.359,0.000
40,4,1628,2348.780,3.432,,,,,,,,,,,1628,80.514,0.129
30,0,1048735,2020678,5137034,174361,1184697,83390.12,2,10294.26,826369.5,,525006,19884.12,30993.16,1048735,34119.27,7906.836
30,1,381,474.303,0.386,,,,,,,,,,,381,14.365,0.000
30,2,539,849.276,83.531,2,14.203,2.296,,,,,22,1.792,0.046,539,21.711,0.000
30,3,1963,2899.961,2.763,,,,,,,,,,,1963,68.709,0.000
30,4,1510,2094.920,2.321,,,,,,,,,,,1510,68.812,0.152
20,0,1048809,1797691,3205384,139839,954556.8,20558.72,1,5543.697,0.000,,526936,23836.74,3449.366,1048809,33935.84,4827.425
20,1,1512,1795.374,1.211,,,,,,,,,,,1512,54.033,0.000
20,2,1058,2440.084,6.987,1,8.581,0.000,,,,,22,13.268,6.922,1058,52.400,0.018
20,3,597,790.076,1.658,,,,,,,,,,,597,21.858,0.000
20,4,764,960.085,1.986,,,,,,,,,,,764,28.452,0.000
10,0,1048743,1808964,5746098,141326,960879.7,83928.13,,,,,524583,17810.25,1862.606,1048743,33684.21,46360.64
10,1,86,119.221,3.166,,,,,,,,,,,86,3.267,0.000
10,2,2068,3729.109,4.576,1,8.249,0.000,,,,,22,12.614,6.198,2068,81.649,0.006
10,3,1415,1942.541,2.690,,,,,,,,,,,1415,50.148,0.000
10,4,2449,3362.272,8.556,2,19.579,10.612,,,,,8,0.306,0.000,2449,104.206,0.348
5,0,1048818,1762831,1814601,135205,921569.0,110023.8,,,,,524440,17196.31,1727.552,1048818,33609.76,2890.164
5,1,920,1256.274,2.061,1,13.681,0.000,,,,,7,0.286,0.001,920,34.267,0.000
5,2,591,1004.337,5.201,3,23.760,0.317,,,,,35,7.806,0.861,591,23.669,0.002
5,3,647,973.138,3.180,,,,,,,,,,,647,26.338,0.000
5,4,4221,4905.030,170.219,,,,,,,,,,,4221,252.406,8.526
