RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.08,5.53,0:07.61,436723,612063,564039,470424
90,2.19,2.10,0:05.02,34,926615,565052,529121
80,2.38,2.02,0:05.08,14,952504,565620,562240
70,2.25,2.17,0:05.07,14,952145,565621,562358
60,2.37,2.07,0:05.03,15,947417,565621,562410
50,2.44,2.03,0:05.03,15,947628,565626,562621
40,2.41,2.12,0:05.02,14,945467,565626,562705
30,2.50,2.02,0:04.97,14,943398,565627,562813
20,2.61,1.97,0:04.99,14,943372,565628,562926
10,2.67,1.94,0:04.98,14,941776,565616,563015
5,2.58,2.06,0:04.99,14,940858,565624,563081
