RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.49,0.27,0:06.76,10,101175,0,70
90,6.64,0.28,0:06.93,1278,154319,0,41831
80,6.83,0.42,0:07.25,1400,165958,0,50178
70,6.84,0.44,0:07.29,626,166090,0,58813
60,6.86,0.40,0:07.27,383,169646,0,65567
50,6.69,0.49,0:07.19,6518,270485,0,75973
40,7.69,1.52,0:09.23,2209,1040810,0,448090
30,7.63,1.97,0:09.60,46,1103175,0,576922
20,7.39,1.90,0:09.29,33,1103951,0,584385
10,8.17,2.16,0:10.34,36393,1152472,0,621395
5,7.95,2.98,0:10.93,16480,1675971,0,1082300
