RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.87,0.11,0:03.99,0,104761,0,0
90,3.89,0.32,0:04.22,22749,122816,41333,25958
80,3.80,0.59,0:04.39,50757,125639,74190,56039
70,3.70,0.76,0:04.47,64720,122673,79058,71138
60,3.82,0.74,0:04.56,73022,161993,103576,80039
50,3.76,0.93,0:04.70,75625,240930,147261,92715
40,3.94,1.85,0:05.83,128858,713006,416212,261249
30,4.33,2.89,0:07.29,222814,1085879,668433,723278
20,4.35,3.00,0:07.42,229844,1116916,691461,754177
10,4.56,5.97,0:10.79,446932,2192475,1274973,1250876
5,4.60,6.09,0:11.04,460176,2205280,1282949,1632127
