RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.43,0.13,0:03.56,0,100590,0,0
90,3.50,0.27,0:03.81,920,102188,44316,42863
80,3.49,0.33,0:03.86,3878,106242,59771,55119
70,3.52,0.33,0:03.90,4852,106197,74307,66771
60,3.55,0.34,0:03.93,6452,109581,78380,75682
50,3.59,0.68,0:04.31,34535,145172,112788,109974
40,3.81,1.65,0:05.57,16470,550086,523708,551938
30,3.86,2.06,0:06.13,4629,675489,708564,764323
20,3.81,2.01,0:06.07,33,664950,709369,776578
10,3.91,1.98,0:06.08,1498,670011,712771,778167
5,3.82,3.50,0:07.49,82643,756300,822679,1233779
