RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.68,1.23,0:03.92,2211,618980,0,2942
90,2.87,1.72,0:04.60,38,786654,0,266512
80,2.86,1.76,0:04.62,38,786661,0,266839
70,2.84,1.88,0:04.72,44,786657,0,267184
60,2.95,2.32,0:05.28,130,995431,0,477446
50,3.12,2.19,0:05.31,100,1048756,0,527549
40,2.98,2.22,0:05.21,52,1048805,0,531441
30,3.09,2.11,0:05.20,52,1048804,0,531424
20,2.98,2.21,0:05.20,52,1048805,0,531430
10,3.09,2.12,0:05.22,52,1048803,0,531394
5,3.07,2.14,0:05.21,52,1048804,0,531411
