RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.25,0.97,0:03.22,6580,779986,302792,23893
90,2.31,1.23,0:03.55,32844,753725,402713,283272
80,2.39,1.21,0:03.62,32859,753708,442867,283852
70,2.37,1.28,0:03.67,32807,753766,500108,284682
60,2.43,1.83,0:04.27,76762,918506,564381,492266
50,2.36,1.93,0:04.29,79988,968742,565410,552709
40,2.54,1.86,0:04.41,92909,955821,565591,563049
30,3.21,1.92,0:05.13,93920,954806,565587,563035
20,2.59,1.83,0:04.44,97310,951416,565580,563029
10,2.56,1.88,0:04.44,98314,950413,565586,563036
5,2.68,1.78,0:04.46,98321,950406,565587,563037
