RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.84,1.16,0:04.01,13,524413,40046,1085
90,3.05,8.05,0:11.13,12,527553,2718864,1866216
80,3.03,8.11,0:11.17,12,528078,2927174,1867616
70,3.11,8.42,0:11.55,16,528605,3298988,1870167
60,3.24,11.09,0:14.36,224,529568,3738574,3346624
50,3.32,10.83,0:14.18,556,529744,3742123,3712263
40,3.45,10.66,0:14.14,24,529658,3742208,3720625
30,3.33,10.70,0:14.06,24,529663,3742208,3720644
20,3.12,10.65,0:13.81,23,529659,3742202,3720651
