RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.75,0.11,0:02.12,0,100521,0,0
90,3.99,1.01,0:02.71,37308,104398,50164,40941
80,4.04,1.31,0:02.89,51453,106944,71989,56827
70,4.08,1.44,0:03.00,59980,108136,75043,66007
60,3.98,1.76,0:03.11,67589,109874,77450,74635
50,4.38,2.29,0:03.57,90820,159749,114536,111548
40,5.39,4.98,0:05.67,168197,812923,495915,471555
30,5.53,7.00,0:07.06,245324,1053973,665398,737881
20,4.41,7.98,0:07.15,264144,1116703,708047,791418
10,4.61,7.88,0:07.17,264644,1118118,709761,802226
5,5.08,8.04,0:07.66,275668,1126769,720938,804071
