RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.59,0.71,0:06.31,114,678717,1525,639
90,5.56,0.82,0:06.39,1573,687825,53884,13475
80,5.56,0.97,0:06.54,1975,690208,146362,15644
70,5.68,1.18,0:06.87,7771,707443,205422,33137
60,5.79,1.58,0:07.38,39155,741290,308235,80936
50,5.73,2.31,0:08.06,75438,813953,374065,146627
40,5.91,3.01,0:08.95,131233,892393,499251,307623
30,5.82,3.81,0:09.72,189537,977616,558338,468074
20,5.97,4.04,0:10.18,197538,1059983,670817,596096
10,6.19,4.30,0:10.75,235013,1140910,722664,755711
5,6.93,4.58,0:11.78,260485,1184674,772841,850174
