RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.15,1.82,0:05.98,0,1445976,0,0
90,4.29,1.90,0:06.19,3225,1448635,191329,6209
80,4.33,2.01,0:06.34,3225,1456876,290974,8088
70,4.42,2.83,0:07.26,49673,1601749,636556,139901
60,4.39,4.15,0:08.55,86887,1935840,1068291,410768
50,4.54,6.51,0:11.05,219614,2338161,1606094,1206259
40,5.09,13.88,0:18.99,225961,4758049,4603362,4468920
30,5.20,17.46,0:22.68,346547,4878101,5079219,7193484
20,5.09,18.87,0:23.97,268931,4961672,5296276,8805864
10,4.85,18.87,0:23.73,28087,5148926,5323225,10377535
5,4.87,19.04,0:23.92,9402,5208342,5330141,10782770
