RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,1446282,0
90,1452378,2277
80,1452285,2313
70,1809174,25330
60,2397384,174188
50,3381110,913485
40,7456058,1346193
30,9095720,2403351
