RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.85,0.15,0:04.00,0,104761,0,0
90,3.88,0.20,0:04.09,5336,121495,26991,16896
80,3.79,0.34,0:04.14,4290,156814,62912,54787
70,3.70,0.39,0:04.10,4815,172274,74484,72652
60,3.71,0.37,0:04.08,3970,177752,75300,78294
50,3.77,0.48,0:04.27,16172,197062,92245,92176
40,4.09,1.17,0:05.28,69364,424772,236433,226565
30,4.22,2.19,0:06.43,22022,1267098,650290,672845
20,4.45,2.15,0:06.61,32670,1294861,681910,742224
10,4.80,4.12,0:08.93,39198,2623152,1281335,1540564
5,4.70,4.16,0:08.87,36708,2629194,1282914,1613602
