RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.69,0.20,0:06.90,11,101175,0,49
90,6.59,0.31,0:06.91,1212,152054,0,41626
80,6.52,0.43,0:06.96,1305,160793,0,49771
70,6.87,0.39,0:07.28,635,166049,0,58792
60,6.52,0.45,0:06.97,437,169570,0,65535
50,6.93,0.53,0:07.46,5210,260258,0,74551
40,7.28,1.64,0:08.92,3048,1041136,0,446697
30,7.68,1.79,0:09.48,52,1102883,0,576600
20,7.76,1.79,0:09.56,33,1104093,0,584466
10,8.09,2.17,0:10.26,36144,1152607,0,621270
5,7.63,2.93,0:10.57,13272,1676679,0,1077541
