RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.36,0.88,0:03.25,17,525385,0,82
90,2.46,2.31,0:04.80,36011,750554,0,266523
80,2.43,2.40,0:04.87,35954,750611,0,266784
70,2.26,2.70,0:04.98,35997,750575,0,267119
60,2.39,3.13,0:05.54,78762,916563,0,477675
50,2.57,3.09,0:05.68,90696,958029,0,529250
40,2.67,2.80,0:05.48,90490,958235,0,531475
30,2.51,2.88,0:05.41,90626,958100,0,531465
20,2.65,2.73,0:05.40,90056,958669,0,531473
10,2.45,2.85,0:05.31,90314,958411,0,531465
5,2.50,2.85,0:05.37,95357,953370,0,531466
