RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.88,0.10,0:03.99,0,104760,0,0
90,3.86,0.46,0:04.32,15098,111027,25959,17759
80,3.85,1.22,0:05.07,52479,115680,77103,58152
70,3.79,1.62,0:05.41,74040,120544,83795,81233
60,3.74,1.68,0:05.42,76790,120796,83835,86063
50,3.81,1.93,0:05.76,89407,150411,106428,106428
40,4.02,3.17,0:07.36,127818,497747,308915,303342
30,4.23,5.87,0:10.51,223309,1070827,655947,709989
20,4.33,6.03,0:10.82,227945,1103157,682122,754450
10,4.43,12.23,0:18.01,452393,2154845,1267861,1523757
5,4.66,12.10,0:18.07,451992,2213592,1283003,1630138
