RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.10,3.52,0:05.77,115176,933610,564469,496646
90,2.11,3.47,0:05.71,119271,929522,564405,492577
80,2.17,3.63,0:05.86,139983,908813,565614,563122
70,2.21,3.49,0:05.77,129918,918877,565613,563125
60,2.32,3.78,0:06.15,217341,831459,565612,563140
50,2.30,4.06,0:06.38,268560,780242,565620,563183
40,2.44,3.12,0:05.60,131116,917691,565622,563133
30,2.38,3.13,0:05.58,135704,913108,565622,563161
20,2.42,3.09,0:05.54,147104,901713,565622,563135
10,2.37,3.24,0:05.62,169119,879696,565620,563149
5,2.52,2.89,0:05.43,142546,906273,565614,563132
