RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.56,0.83,0:06.40,29,678813,1542,605
90,5.65,0.80,0:06.46,31,689367,54405,13458
80,5.70,0.88,0:06.59,203,691048,141275,15130
70,5.62,1.29,0:06.92,2108,713369,207765,29735
60,5.71,1.60,0:07.33,17126,763093,305265,75988
50,5.80,1.87,0:07.68,9156,881212,374877,139004
40,5.91,2.36,0:08.28,12524,1013536,496128,299449
30,5.94,2.58,0:08.55,17128,1155239,561185,459479
20,6.07,2.69,0:08.83,5216,1256931,671769,579354
10,6.28,2.77,0:09.15,2690,1370371,712263,728232
5,7.02,2.81,0:09.95,4437,1439738,770647,797212
