RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,7.31,0.21,0:02.85,0,101049,0,0
90,6.82,0.56,0:02.81,65,151801,0,41020
80,7.18,0.57,0:02.98,50,163815,0,49158
70,7.19,0.64,0:02.99,194,168898,0,59129
60,7.31,0.64,0:03.05,464,184647,0,65634
50,7.94,0.54,0:03.22,1130,240130,0,73318
40,8.61,2.33,0:04.03,3602,999067,0,428250
30,9.30,2.46,0:04.34,137,1083404,0,558871
20,9.15,2.43,0:04.31,167,1101424,0,579179
10,9.10,2.38,0:04.26,2838,1110826,0,588860
5,10.60,3.91,0:05.35,27221,1201123,0,615719
