RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.25,1.59,0:03.85,20677,1028111,556518,29883
90,2.09,1.73,0:03.82,12,587758,564142,476647
80,2.11,1.78,0:03.90,15,617004,565621,563118
70,2.19,1.70,0:03.89,16,614982,565623,563082
60,2.26,1.62,0:03.89,17,615475,565622,563082
50,2.24,1.62,0:03.87,17,614322,565627,563093
40,2.25,1.63,0:03.88,16,601425,565623,563076
30,2.38,1.44,0:03.82,17,602767,565613,563055
20,2.44,1.42,0:03.86,16,585677,565628,563064
10,2.43,1.42,0:03.85,15,567242,565627,563050
5,2.43,1.42,0:03.86,15,562066,565619,563051
