RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.26,0.99,0:03.26,17832,768734,296144,23158
90,2.23,1.28,0:03.52,8,786557,401115,283195
80,2.27,1.30,0:03.57,8,786559,449704,283897
70,2.33,1.24,0:03.57,12,786562,498377,284579
60,2.28,1.75,0:04.04,57,995264,564523,500467
50,2.32,1.77,0:04.10,67,1048661,565493,556964
40,2.42,1.59,0:04.02,18,1048708,565592,562934
30,2.41,1.56,0:03.98,18,1048708,565593,562945
20,2.44,1.50,0:03.94,18,1048709,565588,562938
10,2.44,1.48,0:03.92,18,1048708,565592,562978
5,2.43,1.50,0:03.94,18,1048708,565595,562983
