RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.08,3.56,0:05.78,116597,932189,564461,496220
90,2.13,3.51,0:05.76,125761,923028,564420,494117
80,2.12,4.68,0:06.83,320542,728254,565610,563139
70,2.21,3.54,0:05.83,135587,913208,565610,563134
60,2.31,3.37,0:05.75,136290,912513,565616,563127
50,2.25,3.41,0:05.71,144107,904699,565620,563171
40,2.37,3.16,0:05.56,131128,917681,565623,563156
30,2.30,3.21,0:05.57,138754,910058,565620,563163
20,2.51,2.99,0:05.52,144635,904182,565622,563143
10,2.45,3.22,0:05.69,189487,859328,565620,563141
5,2.54,3.05,0:05.62,180190,868629,565613,563134
