RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.44,0.12,0:03.56,0,100589,0,0
90,3.49,0.45,0:03.94,41031,110191,62356,44778
80,3.47,0.52,0:04.00,48673,119210,73327,52888
70,3.47,0.61,0:04.09,58256,119518,76642,63049
60,3.48,0.65,0:04.13,63503,118831,77871,69835
50,3.57,0.71,0:04.29,70801,177614,112353,86624
40,3.91,2.34,0:06.29,183016,1095591,646389,596866
30,3.81,2.97,0:06.84,248643,1132814,708575,773651
20,3.92,2.85,0:06.82,242080,1140519,709266,777998
10,4.17,2.95,0:07.19,255677,1265366,743928,865946
5,4.09,3.89,0:08.09,313664,1584932,818868,1246985
