RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.51,1.19,0:03.71,3721,648364,129062,4679
90,2.58,1.69,0:04.28,7,786558,377817,266501
80,2.79,1.58,0:04.38,7,786565,437958,266915
70,2.82,1.60,0:04.42,12,786560,476583,267196
60,2.80,2.16,0:04.97,29,995356,534092,477750
50,2.83,2.16,0:05.00,44,1048681,534580,528149
40,2.73,2.19,0:04.93,17,1048709,534614,531463
30,2.85,2.07,0:04.92,17,1048709,534614,531452
20,2.86,2.04,0:04.90,17,1048709,534611,531458
10,3.00,1.92,0:04.92,15,1048711,534604,531444
5,2.93,1.97,0:04.90,17,1048709,534618,531476
