RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2
100,0,694786,594156.9,340695.5,869,19724.01,100.331,,,,,202025,92737.18,18359.91
100,1,655,820.321,2.224,,,,,,,,,,
100,2,324,656.493,5.470,,,,,,,,,,
100,3,2809,3261.068,17.460,,,,,,,,,,
100,4,1473,1960.201,2.126,,,,,,,,,,
90,0,786563,1405961,2199694,32839,456858.6,175007.0,5,190567.5,249795149,,376684,405775.2,238918.7
90,1,928,1230.273,3.149,,,,,,,,,,
90,2,474,754.416,1.364,,,,,,,,,,
90,3,449,614.107,2.120,1,16.038,0.000,,,,,4,0.153,0.000
90,4,452,652.945,8.696,,,,,,,,,,
80,0,786490,1426233,31422993,32846,471769.7,66548.83,4,161304.5,339221006,,375503,404381.5,202662.7
80,1,1094,1341.070,1.261,,,,,,,,,,
80,2,241,501.030,3.870,,,,,,,,,,
80,3,1423,2047.238,3.346,3,41.022,67.700,,,,,12,3.956,0.938
80,4,1082,1354.147,1.937,,,,,,,,,,
70,0,786499,1433480,5130096,32801,471872.7,25611.53,3,99061.33,12906227,,377400,405038.7,642075.7
70,1,1843,2403.095,2.055,,,,,,,,,,
70,2,706,948.895,1.975,,,,,,,,,,
70,3,1261,1801.434,2.416,4,32.679,2.462,,,,,8,0.380,0.000
70,4,1283,1625.856,1.562,,,,,,,,,,
60,0,996427,1959036,209848.0,70962,998790.1,174015.5,11,583405.0,1514262276,,558233,297203.4,258656.3
60,1,476,620.435,1.533,,,,,,,,,,
60,2,196,448.839,2.573,,,,,,,,,,
60,3,3200,4239.364,9.125,,,,,,,,,,
60,4,2279,2716.738,11.253,,,,,,,,,,
50,0,1048743,2193518,5605410,83217,1225634,361151.0,16,633307.9,207251410,,601474,272809.2,651945.5
50,1,1024,1368.091,3.855,,,,,,,,,,
50,2,332,715.510,6.414,,,,,,,,,,
50,3,3220,3579.141,45.666,,,,,,,,,,
50,4,1341,1916.471,33.663,,,,,,,,,,
40,0,1048889,3414008,4482093,282626,2537144,914111.6,4,115294.5,86555213,,575675,203296.7,327968.7
40,1,2758,3371.057,3.954,1,14.588,0.000,,,,,7,0.316,0.001
40,2,620,1125.155,4.441,,,,,,,,,,
40,3,1160,1538.872,2.570,,,,,,,,,,
40,4,1686,2183.956,3.066,5,60.343,80.446,,,,,8,0.309,0.000
30,0,1048655,2303331,6291749,92383,1319074,1636259,3,91557.84,92886451,,603051,266417.3,327549.9
30,1,2451,3064.103,9.009,,,,,,,,,,
30,2,395,790.949,3.888,,,,,,,,,,
30,3,2929,4173.003,5.277,,,,,,,,,,
30,4,745,879.144,1.700,,,,,,,,,,
20,0,1048652,2283330,2471636,94774,1326414,648806.1,4,91597.23,21252956,,598650,258214.4,966085.5
20,1,1939,2498.947,1.611,,,,,,,,,,
20,2,493,697.031,0.448,,,,,,,,,,
20,3,1578,2043.017,1.528,,,,,,,,,,
20,4,1826,2174.743,1.307,,,,,,,,,,
10,0,1048819,2174965,638267.7,94087,1134541,1381902,1,37903.31,0.000,,615898,323285.0,264767.9
10,1,634,814.152,2.594,1,16.954,0.000,,,,,7,0.306,0.000
10,2,356,670.873,4.033,,,,,,,,,,
10,3,110,112.919,0.284,,,,,,,,,,
10,4,2306,2971.472,8.295,,,,,,,,,,
5,0,1048652,4109020,3890294,524287,3449723,536472.9,,,,,524316,18019.02,1454.943
5,1,2025,2385.913,1.679,5,38.695,2.493,,,,,8,0.315,0.000
5,2,364,814.178,4.621,1,14.628,0.000,,,,,3,0.084,0.000
5,3,310,456.403,3.846,,,,,,,,,,
5,4,852,1107.382,2.981,,,,,,,,,,
