RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,105028,0
90,127721,14067
80,168147,51945
70,181537,66958
60,197222,76084
50,250032,88341
40,659077,123504
30,1459052,213273
20,1500311,221821
