RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.18,1.72,0:03.90,53718,732847,283913,60963
90,2.27,1.66,0:04.00,7,786559,391122,282454
80,2.29,1.67,0:04.04,7,786562,437609,283149
70,2.25,1.67,0:03.98,12,786566,490920,283816
60,2.39,2.50,0:05.12,166,995557,564487,497917
50,2.37,2.73,0:05.40,248,1048479,565386,550877
40,2.40,2.19,0:04.91,17,1048710,565593,562625
30,2.43,2.18,0:04.93,17,1048709,565592,562743
20,2.58,1.92,0:04.82,17,1048709,565588,562790
10,2.45,1.92,0:04.71,17,1048710,565586,562899
5,2.59,1.77,0:04.68,17,1048709,565594,562974
