RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.58,0.81,0:03.40,63,542509,18410,369
90,2.50,2.23,0:04.76,34122,752442,385962,266575
80,2.48,2.29,0:04.79,34084,752481,417026,266779
70,2.43,2.36,0:04.82,33971,752604,470941,267151
60,2.71,2.66,0:05.38,74509,920844,534087,477727
50,2.62,2.83,0:05.46,84329,964397,534565,527081
40,2.73,2.79,0:05.54,84974,963752,534608,531490
30,2.86,2.63,0:05.50,98116,950610,534596,531477
20,2.91,2.51,0:05.43,87175,961551,534599,531452
10,2.79,2.64,0:05.44,90361,958364,534606,531478
5,2.67,2.76,0:05.43,85248,963477,534602,531463
