RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2
100,0,100593,83089.61,1699.423,,,,,,,6267.740,,,,100593,14477.72,103.828
100,1,1018,1272.002,1.790,,,,,,,,,,,1018,35.980,0.000
100,2,977,1371.088,4.337,,,,,,,,,,,977,37.646,0.000
100,3,3176,3926.075,48.840,,,,,,,,,,,3176,156.003,1.067
100,4,1929,2658.906,1.836,,,,,,,,,,,1929,81.232,0.123
90,0,151252,177288.2,157701.5,2161,14866.73,295.976,2,15766.69,390796.0,36972.25,50729,1680.151,59.296,151252,50264.62,137517.6
90,1,1082,1739.217,5.124,29,223.202,18.241,,,,,29,1.103,0.000,1082,39.669,0.000
90,2,398,516.334,1.914,,,,,,,,,,,398,31.948,0.722
90,3,619,819.398,3.097,,,,,,,,,,,619,22.301,0.000
90,4,1698,2311.724,1.319,,,,,,,,,,,1698,60.318,0.000
80,0,160233,185768.9,117641.3,838,5821.824,1.801,4,32234.18,1316928,43206.01,59591,1941.646,12.731,160233,57279.63,107354.6
80,1,1181,1625.078,3.134,8,72.109,32.003,,,,,8,0.299,0.000,1181,41.738,0.000
80,2,950,1279.642,2.375,,,,,,,,,,,950,34.723,0.000
80,3,858,1175.467,2.591,,,,,,,,,,,858,31.344,0.000
80,4,608,937.714,2.846,16,103.941,3.473,,,,,16,0.517,0.000,608,23.564,0.000
70,0,167096,204697.2,134846.5,1364,9622.673,2.387,6,39290.93,2968876,49835.28,66209,2167.927,40.895,167096,64784.08,126508.8
70,1,1616,2396.480,2.779,,,,,,,,,,,1616,56.007,0.000
70,2,1709,2365.510,2.776,,,,,,,,,,,1709,59.478,0.000
70,3,1875,2587.167,1.886,,,,,,,,,,,1875,66.723,0.000
70,4,1624,2171.327,1.914,,,,,,,,,,,1624,57.239,0.000
60,0,168985,210279.7,188702.4,782,5704.790,1.753,5,30779.30,271679.6,53755.49,68461,2181.096,82.321,168985,69367.36,178392.2
60,1,1669,2290.788,2.000,,,,,,,,,,,1669,61.134,0.000
60,2,809,1348.927,5.820,,,,,,,,,,,809,30.079,0.005
60,3,1745,2534.686,2.242,,,,,,,,,,,1745,67.802,0.000
60,4,991,1465.686,3.100,16,106.539,4.049,,,,,16,0.564,0.000,991,63.410,0.391
50,0,203401,243894.1,266643.1,1139,7662.579,2.173,3,16739.23,425784.8,59172.22,86200,2776.867,7210.427,203401,77971.67,241801.0
50,1,844,989.509,1.859,,,,,,,,,,,844,30.976,0.000
50,2,254,480.079,3.974,28,176.870,0.918,,,,,28,0.825,0.000,254,8.977,0.000
50,3,199,256.777,1.804,,,,,,,,,,,199,6.962,0.000
50,4,1630,2348.082,2.031,,,,,,,,,,,1630,59.167,0.000
40,0,1251463,1395680,2437664,14774,97431.18,347.356,5,25620.27,181384.0,378312.2,645256,22318.33,24159.30,1251463,494273.0,1505527
40,1,137,164.551,0.497,,,,,,,,,,,137,5.384,0.000
40,2,2569,6606.609,43.880,,,,,,,,,,,2569,112.902,0.037
40,3,2977,3882.799,55.564,,,,,,,,,,,2977,106.763,0.005
40,4,2196,2888.416,18.928,,,,,,,,,,,2196,78.753,0.002
30,0,1382317,1696600,4998994,76,581.201,5.236,4,21030.61,6673427,568439.9,724614,25232.10,9526.678,1382317,703002.2,3932483
30,1,2307,2848.191,7.531,,,,,,,,,,,2307,81.632,0.000
30,2,1410,3425.208,13.656,,,,,,,,,,,1410,110.001,0.499
30,3,2189,2785.327,11.986,,,,,,,,,,,2189,78.779,0.002
30,4,966,1161.238,2.351,,,,,,,,,,,966,36.333,0.000
20,0,1382874,1699622,20096549,33,278.222,11.369,4,22097.07,75756.94,575957.9,725099,25484.31,1724.540,1382874,710239.8,16433902
20,1,1537,2103.656,2.333,8,56.209,2.688,,,,,8,0.303,0.000,1537,57.916,0.000
20,2,1125,2513.329,8.538,,,,,,,,,,,1125,55.849,0.013
20,3,625,936.173,3.103,,,,,,,,,,,625,23.393,0.000
20,4,5311,6838.287,201.462,30,217.768,11.828,,,,,30,1.044,0.000,5311,297.448,2.940
10,0,1489140,2113493,796938.3,47241,310237.1,4028.757,5,25850.63,509841.7,583930.5,801059,27718.30,12016.90,1489140,730327.5,7501852
10,1,2346,3246.514,9.682,,,,,,,,,,,2346,85.654,0.000
10,2,1024,2529.706,12.605,,,,,,,,,,,1024,47.273,0.013
10,3,1014,1490.169,3.075,,,,,,,,,,,1014,80.837,1.020
10,4,287,382.692,1.232,,,,,,,,,,,287,10.479,0.000
5,0,1909633,2736657,1909989,55803,363886.5,211873.5,7,27785.16,75658.38,817555.2,1184067,40813.96,29633.67,1909633,1000989,5384764
5,1,1325,1769.439,1.360,,,,,,,,,,,1325,51.222,0.000
5,2,938,2182.577,10.649,27,215.313,20.139,,,,,27,0.935,0.000,938,63.940,0.265
5,3,651,971.860,2.889,,,,,,,,,,,651,24.942,0.000
5,4,6694,7985.463,364.117,,,,,,,,,,,6694,339.877,3.462
